"id","player","atpname","birthdate","weight","height","turnedpro","birthplace","coaches","hand","backhand","ioc"
"D136","John De Mendoza","John De Mendoza","19490822","","","","Wimbledon, England","","R","","GBR"
"D137","Massimo Di Domenico","Massimo Di Domenico","","","","","","","R","","ITA"
"D138","Jerry De Witts","Jerry De Witts","","","","","","","R","","USA"
"D139","Keith Diepraam","Keith Diepraam","19420911","","","","Johannesburg, South Africa","","R","","RSA"
"D140","William Durham","William Durham","","","","","","","R","","AUS"
"D141","Tony Dawson","Tony Dawson","","","","","","","R","","AUS"
"D142","Phil Davies","Phil Davies","","","","","","","R","","AUS"
"D143","Doug Ditmer","Doug Ditmer","","","","","","","R","","USA"
"D144","Jose Di Camino","Jose Di Camino","","","","","","","R","Unknown","CHI"
"D146","Paul Dogherty","Paul Dogherty","","","","","","","R","","AUS"
"D147","Bernard De Troye","Bernard De Troye","","","","","","","R","","FRA"
"D148","Tim Downey","Tim Downey","19600831","","","","Greenwich, CT, USA","","R","Unknown","USA"
"D149","John De Zeeuw","John De Zeeuw","19480921","","","","Queenstown, South Africa","","R","","RSA"
"D151","Joe De Foor","Joe De Foor","19630202","84","188","","Marietta, GA","","R","","USA"
"D154","Scott Dillon","Scott Dillon","","","","","","","R","Unknown","USA"
"D158","Bill Drake","Bill Drake","","","","","","","R","","USA"
"D159","Juan Diaz","Juan Diaz","","","","","","","R","","COL"
"D163","Georges Deniau","Georges Deniau","","","","","","","R","","FRA"
"D164","Gaylard Dunn","Gaylard Dunn","","","","","","","R","","AUS"
"D166","Johan Donar","Johan Donar","19660324","79","180","1990","Stockholm, Sweden","","R","","SWE"
"D170","Hendrik Jan Davids","Hendrik Jan Davids","19690130","78","183","1988","DeBilt, Netherlands","","L","","NED"
"D173","Otavio Della","Otavio Della","19690622","69","170","","Sao Paulo, Brazil","","R","","BRA"
"D174","A. Difrancesco","A. Difrancesco","","","","","","","R","Unknown","AUS"
"D176","Mario Delgado","Mario Delgado","19550518","","","","","","R","","CRC"
"D177","Brian Devening","Brian Devening","19670716","82","185","1990","Milwaukee, WI","","R","","USA"
"D178","Frank Dennhardt","Frank Dennhardt","19671206","80","188","","Darmstadt, Germany","","L","","GER"
"D179","Sandro Della Piana","Sandro Della Piana","19680919","","","","","","R","Unknown","SUI"
"D180","Fabio Di Mauro","Fabio Di Mauro","","","","","","","R","","ITA"
"D182","Kelly Durant","Kelly Durant","","","","","","","R","Unknown","AUS"
"D184","Michael Daniel","Michael Daniel","19651121","82","188","","Tel Aviv, Israel","","R","","ISR"
"D185","Daniel Deboer","Daniel Deboer","","","","","","","R","Unknown","GER"
"D188","Paul Dogger","Paul Dogger","19710704","63","185","","Amsterdam, Netherlands","","R","","NED"
"D190","Xavier Daufresne","Xavier Daufresne","19681224","87","193","1988","Lasne, Belgium","","R","","BEL"
"D191","David Dilucia","David Dilucia","19700115","67","173","","Norristown, PA U.S.A.","","R","","USA"
"D195","Alessandro Dalboni","Alessandro Dalboni","19690809","","","","","","R","Unknown","ITA"
"D196","Terry Deeth","Terry Deeth","","","","","","","R","Unknown","AUS"
"D197","Eric Dawance","Eric Dawance","","","","","","","R","Unknown","BEL"
"D198","Slava Dosedel","Slava Dosedel","19700814","79","183","1989","Prerov, Czechia","","R","","CZE"
"D201","Wayne Davis","Wayne Davis","","","","","","","R","Unknown","AUS"
"D202","Gary Drake","Gary Drake","","","","","","","R","","GBR"
"D206","Mark Draper","Mark Draper","19710211","75","185","1989","Brisbane, QSDL, Australia","","R","","AUS"
"D207","Dirk Dier","Dirk Dier","19720216","77","185","1990","St. Ingbert, Germany","","R","","GER"
"D208","Dominic Durand","Dominic Durand","","","","","","","R","","FRA"
"D209","Claus Duppe","Claus Duppe","","","","","","","R","Unknown","GER"
"D210","Heath Denman","Heath Denman","19710117","73","183","","Ipswich, QSLD, Australia","","R","","AUS"
"D211","John-Laffnie de Jager","John-Laffnie de Jager","19730317","82","193","1992","Johannesburg, South Africa","Michael de Jong","R","","RSA"
"D213","Johan De Beer","Johan De Beer","19720106","75","191","","Pretoria, South Africa","","R","","RSA"
"D214","Martin Damm","Martin Damm","19720801","88","188","1990","Liberec, Czechia","","R","","CZE"
"D216","Tim Donovan","Tim Donovan","19670220","66","175","","Pittsburgh, PA, USA","","R","","USA"
"D217","Martin Dionne","Martin Dionne","","","","","Rimouski, Quebec, Canada","","R","Unknown","CAN"
