tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2009-2205,Noumea,Hard,32,C,,20090111,1,K310,,,Stefan Koubek,L,175,AUT,32.025,188,440,B752,1,,Stephane Bohli,R,185,SUI,25.467,136,676,4-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,2,MB02,,,Florian Mayer,R,191,GER,25.27,409,152,C856,2,,Victor Crivoi,R,185,ROU,26.634,128,726,7-6(3) 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,3,L386,,,Jean-Rene Lisnard,R,173,MON,29.298,244,308,ME82,3,,Adrian Mannarino,L,180,FRA,20.537,129,726,6-7(2) 6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,4,PD31,,,Benoit Paire,R,196,FRA,19.68,628,68,P488,4,,Olivier Patience,R,180,FRA,28.799,140,628,6-3 1-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,5,F344,,,Jean-Christophe Faurel,R,175,FRA,27.852,309,228,BC72,5,,Daniel Brands,R,196,GER,21.489,150,582,3-6 6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,6,MB84,6,,Mathieu Montcourt,R,183,FRA,23.858,151,572,A356,,,Thierry Ascione,R,188,FRA,27.984,184,448,3-6 7-6(3) 7-6(1),3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,7,R613,,,Edouard Roger-Vasselin,R,185,FRA,25.123,168,492,O264,7,,Josselin Ouanna,R,193,FRA,22.746,158,538,4-6 6-2 7-6(7),3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,8,B929,,,Alex Bogdanovic,L,183,GBR,24.641,190,434,D424,8,,Rik De Voest,R,180,RSA,28.602,157,538,4-6 7-5 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,9,D729,,,Jonathan Dasnieres de Veigy,L,175,FRA,22.018,345,200,P487,,,Eric Prodon,R,180,FRA,27.543,163,510,7-6(2) 5-7 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,10,D351,,,Sebastien De Chaunac,R,183,FRA,31.264,255,292,Z189,,,Grega Zemlja,R,183,SLO,22.286,197,424,3-6 6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,11,E254,,,Brendan Evans,R,188,USA,22.762,173,476,S799,,,Pavel Snobel,L,191,CZE,28.871,161,514,2-6 6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,12,K436,,,Dieter Kindlmann,R,183,GER,26.609,235,326,G744,,,Josh Goodall,R,188,GBR,23.236,201,414,7-5 6-7(3) 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,13,L503,,,Paolo Lorenzi,R,183,ITA,27.075,207,388,G822,,,Riccardo Ghedin,R,185,ITA,23.102,256,292,6-3 4-6 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,14,R628,,,Laurent Recouderc,R,,AND,24.507,171,480,SD78,,,Alexandre Sidorenko,R,185,FRA,20.898,182,450,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,15,SE83,,,Alexander Slabinsky,R,185,GBR,22.853,350,196,J290,,,Scoville Jenkins,R,188,USA,22.303,213,370,5-7 6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,16,SG87,,,Ryan Sweeting,R,196,USA,21.498,215,366,G753,,,David Guez,R,185,FRA,26.094,224,352,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,17,MB84,6,,Mathieu Montcourt,R,183,FRA,23.858,151,572,R628,,,Laurent Recouderc,R,,AND,24.507,171,480,6-1 7-6(1),3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,18,B929,,,Alex Bogdanovic,L,183,GBR,24.641,190,434,SE83,,,Alexander Slabinsky,R,185,GBR,22.853,350,196,6-3 7-5,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,19,E254,,,Brendan Evans,R,188,USA,22.762,173,476,PD31,,,Benoit Paire,R,196,FRA,19.68,628,68,7-6(1) 6-2,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,20,F344,,,Jean-Christophe Faurel,R,175,FRA,27.852,309,228,L503,,,Paolo Lorenzi,R,183,ITA,27.075,207,388,6-4 6-0,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,21,K310,,,Stefan Koubek,L,175,AUT,32.025,188,440,D351,,,Sebastien De Chaunac,R,183,FRA,31.264,255,292,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,22,L386,,,Jean-Rene Lisnard,R,173,MON,29.298,244,308,K436,,,Dieter Kindlmann,R,183,GER,26.609,235,326,6-2 6-3,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,23,MB02,,,Florian Mayer,R,191,GER,25.27,409,152,D729,,,Jonathan Dasnieres de Veigy,L,175,FRA,22.018,345,200,7-6(2) 7-5,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,24,SG87,,,Ryan Sweeting,R,196,USA,21.498,215,366,R613,,,Edouard Roger-Vasselin,R,185,FRA,25.123,168,492,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,25,MB84,6,,Mathieu Montcourt,R,183,FRA,23.858,151,572,K310,,,Stefan Koubek,L,175,AUT,32.025,188,440,7-5 7-6(6),3,QF,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,26,E254,,,Brendan Evans,R,188,USA,22.762,173,476,F344,,,Jean-Christophe Faurel,R,175,FRA,27.852,309,228,3-6 7-6(3) 6-3,3,QF,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,27,MB02,,,Florian Mayer,R,191,GER,25.27,409,152,B929,,,Alex Bogdanovic,L,183,GBR,24.641,190,434,7-6(3) 5-7 6-1,3,QF,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,28,SG87,,,Ryan Sweeting,R,196,USA,21.498,215,366,L386,,,Jean-Rene Lisnard,R,173,MON,29.298,244,308,6-2 6-4,3,QF,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,29,E254,,,Brendan Evans,R,188,USA,22.762,173,476,MB84,6,,Mathieu Montcourt,R,183,FRA,23.858,151,572,6-4 3-6 7-6(1),3,SF,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,30,MB02,,,Florian Mayer,R,191,GER,25.27,409,152,SG87,,,Ryan Sweeting,R,196,USA,21.498,215,366,3-6 7-5 6-3,3,SF,,,,,,,,,,,,,,,,,,,
2009-2205,Noumea,Hard,32,C,,20090111,31,E254,,,Brendan Evans,R,188,USA,22.762,173,476,MB02,,,Florian Mayer,R,191,GER,25.27,409,152,4-6 6-3 6-4,3,F,,,,,,,,,,,,,,,,,,,
2009-746,Sao Paulo-1,Hard,32,C,,20090111,1,D339,1,,Marcos Daniel,R,180,BRA,30.524,102,924,V195,,,Fernando Vicente,R,180,ESP,31.847,203,406,7-6(5) 3-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2009-746,Sao Paulo-1,Hard,32,C,,20090111,2,SC73,,,Rogerio Dutra Silva,R,178,BRA,24.934,241,312,D556,2,,Brian Dabul,L,170,ARG,24.882,100,940,4-6 6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2009-746,Sao Paulo-1,Hard,32,C,,20090111,3,C634,3,,Paul Capdeville,R,191,CHI,25.78,106,906,SG56,,,Daniel Dutra da Silva,L,,BRA,20.52,277,266,6-2 6-7(6) 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2009-746,Sao Paulo-1,Hard,32,C,,20090111,4,A410,4,,Thiago Alves,R,178,BRA,26.642,126,728,CB87,,,Rafael Camilo,,,BRA,18.834,696,54,4-6 7-6(3) 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,
