tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1996-460,Heilbronn,Carpet,32,C,,19960128,1,S367,1,,Martin Sinner,R,180,GER,27.973,59,0,A006,,,Ronald Agenor,R,180,HAI,31.206,173,0,6-1 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,2,R203,2,,David Rikl,L,178,CZE,24.917,81,0,C355,,,Steve Campbell,R,183,USA,25.268,127,0,7-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,3,F206,3,,Frederik Fetterlein,R,191,DEN,25.55,96,0,D207,,,Dirk Dier,R,185,GER,23.948,129,0,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,4,P045,,,Gianluca Pozzi,L,180,ITA,30.615,138,0,N112,4,,Sandor Noszaly,R,193,HUN,23.869,103,0,7-5 5-7 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,5,J129,,,Thomas Johansson,R,180,SWE,20.849,114,0,B293,,,Patrick Baur,R,185,GER,30.738,132,0,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,6,V151,,,Radomir Vasek,R,188,CZE,23.346,221,0,D249,6,,Hendrik Dreekmann,R,188,GER,20.997,117,0,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,7,C009,7,,Omar Camporese,R,188,ITA,27.723,121,0,A226,,,Hicham Arazi,L,175,MAR,22.275,139,0,4-6 6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,8,J006,8,,Anders Jarryd,R,180,SWE,34.543,123,0,P254,,,Dinu Pescariu,R,185,ROU,21.796,136,0,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,9,B484,,,Lars Burgsmuller,R,183,GER,20.145,165,0,R273,,,Joern Renzenbrink,R,196,GER,23.532,146,0,7-6 3-6 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,10,C270,,,Cristiano Caratti,R,178,ITA,25.681,137,0,K154,,,Jozsef Krocsko,R,180,HUN,27.773,162,0,6-1 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,11,K067,,,Wojtek Kowalski,R,183,POL,28.301,151,0,G231,,,Thierry Guardiola,R,188,FRA,24.476,150,0,3-6 6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,12,M551,,,Lorenzo Manta,R,191,SUI,21.366,295,0,K316,,,Nicolas Kiefer,R,183,GER,18.565,166,0,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,13,N099,,,Tomas Nydahl,R,185,SWE,27.855,182,0,N109,,,Diego Nargiso,L,188,ITA,25.873,183,0,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,14,T135,,,Arne Thoms,R,188,GER,25.073,211,0,R285,,,Lars Rehmann,R,196,GER,20.69,171,0,6-3 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,15,W150,,,Chris Wilkinson,R,180,GBR,26.062,130,0,R284,,,Alex Radulescu,R,185,GER,21.142,143,0,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,16,W212,,,Chris Woodruff,R,188,USA,23.069,134,0,L353,,,Petr Luxa,R,191,CZE,23.904,332,0,6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,17,S367,1,,Martin Sinner,R,180,GER,27.973,59,0,C270,,,Cristiano Caratti,R,178,ITA,25.681,137,0,7-5 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,18,R203,2,,David Rikl,L,178,CZE,24.917,81,0,B484,,,Lars Burgsmuller,R,183,GER,20.145,165,0,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,19,W150,,,Chris Wilkinson,R,180,GBR,26.062,130,0,F206,3,,Frederik Fetterlein,R,191,DEN,25.55,96,0,7-6 4-6 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,20,T135,,,Arne Thoms,R,188,GER,25.073,211,0,J129,,,Thomas Johansson,R,180,SWE,20.849,114,0,6-4 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,21,W212,,,Chris Woodruff,R,188,USA,23.069,134,0,C009,7,,Omar Camporese,R,188,ITA,27.723,121,0,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,22,J006,8,,Anders Jarryd,R,180,SWE,34.543,123,0,M551,,,Lorenzo Manta,R,191,SUI,21.366,295,0,6-4 7-5,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,23,K067,,,Wojtek Kowalski,R,183,POL,28.301,151,0,V151,,,Radomir Vasek,R,188,CZE,23.346,221,0,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,24,P045,,,Gianluca Pozzi,L,180,ITA,30.615,138,0,N099,,,Tomas Nydahl,R,185,SWE,27.855,182,0,0-6 6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,25,S367,1,,Martin Sinner,R,180,GER,27.973,59,0,J006,8,,Anders Jarryd,R,180,SWE,34.543,123,0,3-6 6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,
1996-460,Heilbronn,Carpet,32,C,,19960128,26,W212,,,Chris Woodruff,R,188,USA,23.069,134,0,R203,2,,David Rikl,L,178,CZE,24.917,81,0,6-3 6-7 6-3,3,QF,,,,,,,,,,,,,,,,,,,
