tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2019-2205,Noumea,Hard,48,C,,20181231,1,BS86,,,Tomas Barrios Vera,R,191,CHI,21.057,345,62,CC32,,,Guilherme Clezar,R,180,BRA,25.999,232,214,4-6 6-2 6-3,3,R64,119,10,4,79,51,39,19,14,6,7,8,3,87,60,38,17,13,5,8
2019-2205,Noumea,Hard,48,C,,20181231,2,BT68,,,Elliot Benchetrit,R,193,MAR,20.246,275,142,E768,,,Antoine Escoffier,R,185,FRA,26.836,355,58,7-5 6-3,3,R64,92,4,4,68,33,20,16,11,5,10,2,13,72,28,19,13,10,5,12
2019-2205,Noumea,Hard,48,C,,20181231,3,BA65,,,Dustin Brown,R,196,JAM,34.062,230,215,GF95,,,Hugo Grenier,R,196,FRA,22.773,341,66,6-4 6-4,3,R64,70,7,2,69,39,29,18,10,4,4,3,4,57,33,26,11,10,2,4
2019-2205,Noumea,Hard,48,C,,20181231,4,CH90,,,Yun seong Chung,R,178,KOR,20.764,274,143,BE68,,,Tomislav Brkic,R,185,BIH,28.813,302,117,6-3 6-2,3,R64,56,6,0,41,26,22,11,8,0,1,0,1,54,26,14,11,9,4,9
2019-2205,Noumea,Hard,48,C,,20181231,5,GB61,,,Viktor Galovic,R,193,CRO,28.282,223,223,HB05,,,Christian Harrison,R,180,USA,24.591,241,200,6-3 6-4,3,R64,86,5,1,70,43,33,15,10,4,4,5,0,52,35,26,7,9,2,4
2019-2205,Noumea,Hard,48,C,,20181231,6,HH06,,,Marc-Andrea Huesler,L,196,SUI,22.519,371,48,S0DH,,,Roy Smith,L,191,USA,20.298,328,76,6-4 7-6(0),3,R64,100,5,3,71,46,33,16,11,3,4,6,6,66,41,33,9,11,4,6
2019-2205,Noumea,Hard,48,C,,20181231,7,KD35,,,Thai-Son Kwiatkowski,R,188,USA,23.88,296,126,GA79,,,Lorenzo Giustino,R,180,ITA,27.307,222,224,6-2 6-3,3,R64,64,3,1,49,31,25,11,8,1,1,6,6,57,35,23,7,9,5,9
2019-2205,Noumea,Hard,48,C,,20181231,8,MN20,,,Daniel Masur,R,183,GER,24.151,258,168,N390,,,Frederik Nielsen,R,188,DEN,35.346,433,23,6-1 5-7 6-4,3,R64,117,4,5,107,62,46,19,15,4,7,5,4,77,43,26,17,14,3,8
2019-2205,Noumea,Hard,48,C,,20181231,9,N670,,,Hugo Nys,R,183,MON,27.871,510,10,MJ01,,,Roberto Marcora,R,193,ITA,29.336,290,131,6-4 6-4,3,R64,72,4,1,58,43,30,10,10,2,3,1,3,58,36,23,13,10,3,6
2019-2205,Noumea,Hard,48,C,,20181231,10,SJ22,,,Gleb Sakharov,R,185,FRA,30.557,238,202,TF58,,,Yusuke Takahashi,R,170,JPN,21.205,326,78,6-4 6-1,3,R64,73,5,2,51,29,24,11,9,2,3,1,4,58,34,18,12,8,5,9
2019-2205,Noumea,Hard,48,C,,20181231,11,SQ79,,,Colin Sinclair,R,188,NMI,24.033,579,5,CD00,,,Maxime Chazal,R,175,FRA,25.687,649,42,6-4 6-4,3,R64,92,7,4,56,33,28,13,10,2,2,2,5,71,44,34,7,10,3,5
2019-2205,Noumea,Hard,48,C,,20181231,12,SF89,,,Rubin Statham,R,180,NZL,31.685,373,48,BU54,,,Geoffrey Blancaneaux,R,180,FRA,20.397,420,26,3-6 7-6(3) 7-5,3,R64,172,2,6,110,70,48,21,16,4,7,1,8,123,92,61,17,17,7,10
2019-2205,Noumea,Hard,48,C,,20181231,13,V09L,,,Sem Verbeek,L,193,NED,24.72,879,19,SK51,,,Tobias Simon,R,198,GER,27.622,427,24,7-5 5-7 6-4,3,R64,118,11,2,93,62,49,17,17,2,4,13,5,99,60,49,19,17,4,7
