tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1981-243,Perth,Grass,63,C,,19810112,1,D076,1,,Colin Dibley,R,188,AUS,36.315,124,139,P102,,,Gary Penberthy,R,,AUS,,521,4,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,2,E005,2,,Mark Edmondson,R,185,AUS,26.543,79,192,B155,,,Peter Barton,R,,AUS,,,,6-1 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,3,E006,3,,Eddie Edwards,R,191,RSA,24.528,99,101,S074,,,Cary Stansbury,R,196,USA,22.24,240,30,6-1 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,4,B106,4,,Syd Ball,R,188,AUS,30.968,158,81,E054,,,Claude England,R,,NZL,,416,8,6-0 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,5,J029,5,,John James,R,183,AUS,29.854,216,78,T063,,,J. Thorpe,R,,AUS,,,,6-2 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,6,D040,6,,Brad Drewett,L,185,AUS,22.486,101,143,C136,,,Ian Chapman,R,,AUS,,,,6-4 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,7,F070,7,,Rick Fisher,R,,USA,29.793,324,18,H176,,,A. Hall,R,,AUS,,,,6-7 6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,8,H001,8,,Wayne Hampson,R,183,AUS,23.389,193,57,T043,,,John Tregonning,R,,AUS,,,,7-6 3-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,9,B010,,,Russell Barlow,L,173,AUS,18.07,,,S143,,,Beejong Sisson,R,,PHI,,292,21,7-5 4-6 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1981-243,Perth,Grass,63,C,,19810112,10,C085,,,Dale Collings,R,,AUS,25.076,210,41,T070,,,B. Tognolini,R,,ITA,,,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
