tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1985-201,Guaruja,Clay,48,C,,19850127,1,A005,,,Nelson Aerts,R,188,BRA,21.76,399,,S092,,,Charles Buzz Strode,R,183,USA,27.395,301,,6-2 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,2,B034,,,Ramiro Benavides,R,,BOL,37.993,399,,B078,,,Mark Buckley,R,178,USA,24.405,416,,6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,3,B038,,,Rudiger Benz,R,,GER,19.962,553,,R020,,,Sergio Ribeiro,R,,BRA,,748,,6-4 3-6 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,4,B077,,,Mike Brunnberg,R,191,USA,26.735,433,,P016,,,Paschoal Penetta,R,,BRA,,416,,3-6 7-5 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,5,F044,,,Oliver Freund,R,178,GER,22.223,316,,O013,,,Alexandre Oncins,R,,BRA,17.662,553,,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,6,G005,,,Carlos Gattiker,R,175,ARG,28.643,282,,G004,,,Andy Garcia,R,175,USA,25.331,376,,6-4 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,7,G046,,,Roger Guedes,R,,BRA,31.233,355,,G002,,,Gustavo Garetto,R,191,ARG,19.515,376,,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,8,H012,,,Marcelo Hennemann,R,170,BRA,22.883,316,,A040,,,Roberto Azar,L,185,ARG,18.856,399,,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,9,H027,,,Alexandre Hocevar,R,191,BRA,21.938,316,,L040,,,Robert Lorndale,R,,USA,,466,,6-3 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,10,K006,,,Ney Keller,R,,BRA,26.155,433,,C030,,,Carlos Chabalgoity,R,,BRA,,350,,3-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1985-201,Guaruja,Clay,48,C,,19850127,11,M031,,,Eduardo Masso,L,178,BEL,21.046,293,,B022,,,Ronnie Bathman,R,183,SWE,25.763,370,,3-6 6-3 6-4,3,R64,,,,,,,,,,,,,,,,,,,
