tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1997-740,Singapore,Hard,32,C,,19970112,1,K296,,,Jan Kroslak,R,188,SVK,22.24,113,426,H377,1,,Dominik Hrbaty,R,180,SVK,19.023,76,622,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,2,V161,2,,Juan Albert Viloca-Puig,R,185,ESP,23.986,83,583,C411,,,Chad Clark,R,,USA,23.209,747,15,2-6 6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,3,C031,3,,Andrei Chesnokov,R,188,RUS,30.943,84,575,R285,,,Lars Rehmann,R,196,GER,21.648,207,193,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,4,J100,4,,Michael Joyce,R,180,USA,23.945,88,554,P037,,,Claudio Pistolesi,R,180,ITA,29.385,506,41,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,5,O009,5,,Andrei Olhovskiy,R,185,RUS,30.746,89,545,F200,,,Frederic Fontang,R,183,FRA,26.823,193,214,6-1 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,6,V167,6,,Johan Van Herck,R,185,BEL,22.639,90,544,W134,,,Bing Chao Lin,R,180,TPE,23.209,318,108,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,7,S315,7,,Gilbert Schaller,R,180,AUT,27.825,93,519,A199,,,Chuck Adams,R,185,USA,25.725,278,130,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,8,D228,8,,Filip Dewulf,R,191,BEL,24.83,95,513,S579,,,Thomas Shimada,R,178,JPN,21.922,843,11,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,9,G235,,,Sander Groen,L,191,NED,28.575,258,147,B471,,,Mahesh Bhupathi,R,185,IND,22.601,426,63,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,10,J098,,,Donald Johnson,L,191,USA,28.342,467,52,V201,,,John van Lottum,R,185,NED,20.758,222,175,4-0 RET,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,11,L009,,,Leonardo Lavalle,L,188,MEX,29.5,312,112,P353,,,Axel Pretzsch,R,185,GER,20.575,329,103,3-6 6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,12,N100,,,Piet Norval,R,185,RSA,26.768,598,27,K365,,,Sven Koehler,R,,HKG,21.99,,,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,13,Q011,,,Mark Quinney,R,,USA,26.546,930,8,P269,,,Leander Paes,R,178,IND,23.573,127,353,2-6 6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,14,S424,,,Fabrice Santoro,R,178,FRA,24.093,117,407,J085,,,Roberto Jabali,R,191,BRA,26.661,166,262,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,15,S550,,,Takao Suzuki,R,175,JPN,20.312,516,40,C395,,,Chee Yen Chen,R,,SGP,,1230,0,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1997-740,Singapore,Hard,32,C,,19970112,16,W224,,,Rogier Wassen,R,191,NED,20.427,296,117,M609,,,Pantelis Moschoutis,R,,GRE,22.103,526,37,4-6 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
