tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1988-204,Vina Del Mar,Clay,32,C,,19880124,1,D044,1,,Lawson Duncan,R,185,USA,23.244,97,0,A152,,,Cristian Araya,R,0,CHI,18.357,689,0,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,2,M372,2,,Alberto Mancini,R,180,ARG,18.68,132,0,B049,,,Fabian Blengino,R,,ARG,,625,0,6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,3,W022,3,,Blaine Willenborg,R,170,USA,28.055,146,0,F014,,,Jose Antonio Fernandez,R,,CHI,22.992,336,0,1-6 7-6 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,4,A030,4,,Roberto Arguello,A,173,ARG,24.704,177,0,A149,,,Pablo Albano,R,178,ARG,20.789,364,0,6-0 2-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,5,R110,5,,Markus Rackl,L,180,GER,18.894,179,0,B022,,,Ronnie Bathman,R,183,SWE,28.753,277,0,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,6,K010,,,Cesar Kist,R,180,BRA,23.255,216,0,G002,6,,Gustavo Garetto,R,191,ARG,22.505,187,0,6-3 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,7,G197,,,Gustavo Giussani,R,180,ARG,19.885,240,0,J009,7,,Luke Jensen,A,191,USA,21.602,191,0,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,8,A002,8,,Ricardo Acuna,R,175,CHI,30.029,198,0,B334,,,Gilles Bastie,R,,FRA,16.956,,,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,9,C243,,,Jim Courier,R,185,USA,17.437,348,0,S283,,,Otis Smith,L,180,USA,22.127,324,0,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,10,G165,,,Ruben Gajardo,R,,CHI,20.052,555,0,C250,,,Sergio Cortes,R,170,CHI,20.036,327,0,4-6 6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,11,K013,,,Ivan Kley,R,183,BRA,29.572,257,0,F178,,,Gonzalo Fernandez,R,,CHI,17.706,744,0,6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,12,L091,,,Stefan Lochbihler,R,180,AUT,22.313,307,0,C147,,,Hugo Chapacu,R,178,PAR,25.722,302,0,7-5 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,13,M197,,,Nuno Marques,L,191,POR,17.793,319,0,U010,,,Rodrigo Urzua,R,,CHI,,,,5-7 6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,14,Q002,,,Juan Pablo Queirolo,R,,CHI,22.513,306,0,H012,,,Marcelo Hennemann,R,170,BRA,25.873,323,0,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,15,V001,,,Gerardo Vacarezza,R,,CHI,,342,0,W038,,,Martin Wostenholme,R,183,CAN,25.287,251,0,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,16,V034,,,Raul Antonio Viver,L,191,ECU,26.856,372,0,L046,,,Gustavo Luza,R,185,ARG,25.287,384,0,6-3 1-1 RET,3,R32,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,17,D044,1,,Lawson Duncan,R,185,USA,23.244,97,0,M197,,,Nuno Marques,L,191,POR,17.793,319,0,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,18,M372,2,,Alberto Mancini,R,180,ARG,18.68,132,0,V001,,,Gerardo Vacarezza,R,,CHI,,342,0,7-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,19,C243,,,Jim Courier,R,185,USA,17.437,348,0,W022,3,,Blaine Willenborg,R,170,USA,28.055,146,0,6-0 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,20,V034,,,Raul Antonio Viver,L,191,ECU,26.856,372,0,A030,4,,Roberto Arguello,A,173,ARG,24.704,177,0,6-3 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,21,Q002,,,Juan Pablo Queirolo,R,,CHI,22.513,306,0,R110,5,,Markus Rackl,L,180,GER,18.894,179,0,6-3 6-2,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,22,A002,8,,Ricardo Acuna,R,175,CHI,30.029,198,0,L091,,,Stefan Lochbihler,R,180,AUT,22.313,307,0,6-4 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,23,G165,,,Ruben Gajardo,R,,CHI,20.052,555,0,G197,,,Gustavo Giussani,R,180,ARG,19.885,240,0,6-3 1-6 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,24,K013,,,Ivan Kley,R,183,BRA,29.572,257,0,K010,,,Cesar Kist,R,180,BRA,23.255,216,0,6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,25,D044,1,,Lawson Duncan,R,185,USA,23.244,97,0,G165,,,Ruben Gajardo,R,,CHI,20.052,555,0,6-3 1-6 6-3,3,QF,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,26,A002,8,,Ricardo Acuna,R,175,CHI,30.029,198,0,M372,2,,Alberto Mancini,R,180,ARG,18.68,132,0,1-6 6-4 6-2,3,QF,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,27,C243,,,Jim Courier,R,185,USA,17.437,348,0,Q002,,,Juan Pablo Queirolo,R,,CHI,22.513,306,0,6-3 7-6,3,QF,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,28,V034,,,Raul Antonio Viver,L,191,ECU,26.856,372,0,K013,,,Ivan Kley,R,183,BRA,29.572,257,0,6-4 6-7 6-4,3,QF,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,29,D044,1,,Lawson Duncan,R,185,USA,23.244,97,0,V034,,,Raul Antonio Viver,L,191,ECU,26.856,372,0,6-2 6-7 6-3,3,SF,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,30,C243,,,Jim Courier,R,185,USA,17.437,348,0,A002,8,,Ricardo Acuna,R,175,CHI,30.029,198,0,6-2 6-1,3,SF,,,,,,,,,,,,,,,,,,,
1988-204,Vina Del Mar,Clay,32,C,,19880124,31,C243,,,Jim Courier,R,185,USA,17.437,348,0,D044,1,,Lawson Duncan,R,185,USA,23.244,97,0,6-1 6-1,3,F,,,,,,,,,,,,,,,,,,,
