tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2014-2205,Noumea,Hard,32,C,,20131230,1,F444,1,,Alejandro Falla,L,185,COL,30.127,99,552,O411,,,Albano Olivetti,R,203,FRA,22.1,251,185,6-3 6-2,3,R32,76,0,1,54,37,27,11,8,5,5,8,8,67,30,24,12,9,9,13
2014-2205,Noumea,Hard,32,C,,20131230,2,H704,2,,Jesse Huta Galung,R,,NED,28.233,101,549,A622,,,Andrea Arnaboldi,L,180,ITA,26.01,212,228,7-5 6-1,3,R32,101,5,14,86,47,35,15,9,9,11,1,5,67,45,22,8,10,10,16
2014-2205,Noumea,Hard,32,C,,20131230,3,CG33,,,Kimmer Coppejans,R,178,BEL,19.893,258,180,K966,3,,Martin Klizan,L,191,SVK,24.471,108,518,2-6 6-3 6-2,3,R32,113,6,4,83,52,34,16,13,3,6,2,4,78,48,28,17,12,3,7
2014-2205,Noumea,Hard,32,C,,20131230,4,GB88,4,,David Goffin,R,180,BEL,23.064,110,510,G922,,,Gerard Granollers,R,183,ESP,24.914,222,215,6-1 6-0,3,R32,55,3,3,43,21,16,12,6,0,0,2,2,38,24,9,3,7,1,7
2014-2205,Noumea,Hard,32,C,,20131230,5,KB09,5,,Denis Kudla,R,180,USA,21.369,114,491,W471,,,Amir Weintraub,R,185,ISR,27.288,189,266,6-1 7-5,3,R32,69,0,0,54,36,29,7,9,1,2,1,2,63,36,21,9,10,4,9
2014-2205,Noumea,Hard,32,C,,20131230,6,R750,6,,Pere Riba,R,183,ESP,25.73,126,443,G753,,,David Guez,R,185,FRA,31.061,177,286,6-2 7-5,3,R32,102,3,1,67,42,27,11,10,2,5,0,4,72,42,22,11,10,5,11
2014-2205,Noumea,Hard,32,C,,20131230,7,PB22,7,,Peter Polansky,R,183,CAN,25.541,141,398,GB13,,,Germain Gigounon,R,178,BEL,24.695,237,196,6-2 6-4,3,R32,73,4,2,57,35,27,14,9,6,6,1,2,52,22,16,15,9,3,6
2014-2205,Noumea,Hard,32,C,,20131230,8,BE54,8,,Ruben Bemelmans,L,183,BEL,25.96,148,363,T999,,,Maxime Teixeira,R,188,FRA,24.947,193,260,6-2 7-6(2),3,R32,94,4,2,80,47,33,18,10,8,9,3,3,70,47,28,11,10,3,6
2014-2205,Noumea,Hard,32,C,,20131230,9,BC36,,,Gregoire Burquier,L,,FRA,29.478,228,206,MF71,,,Denys Molchanov,R,188,UKR,26.626,287,156,6-7(6) 6-4 6-4,3,R32,157,3,4,102,66,47,19,16,4,7,4,5,100,56,36,21,16,3,8
2014-2205,Noumea,Hard,32,C,,20131230,10,D916,,,Steven Diez,R,175,CAN,22.79,233,202,RA51,,,Blaz Rola,L,193,SLO,23.236,184,276,1-6 7-5 6-3,3,R32,118,3,3,82,46,32,14,14,3,8,3,6,79,42,29,15,14,2,7
2014-2205,Noumea,Hard,32,C,,20131230,11,KA00,,,Austin Krajicek,L,188,USA,23.54,240,195,SL08,,,Tennys Sandgren,R,188,USA,22.442,183,277,6-4 6-7(3) 7-5,3,R32,174,10,2,127,81,58,21,17,9,12,5,4,119,80,53,19,17,9,14
2014-2205,Noumea,Hard,32,C,,20131230,12,MG47,,,James McGee,R,183,IRL,26.557,242,192,SH91,,,Jordi Samper-Montana,R,,ESP,23.737,225,212,6-3 6-3,3,R32,105,0,4,67,41,23,15,9,1,4,0,3,60,38,21,4,9,3,9
2014-2205,Noumea,Hard,32,C,,20131230,13,MB53,,,Adrian Menendez-Maceiras,R,183,ESP,28.172,207,240,MA38,,,Jan Mertl,R,191,CZE,31.989,203,250,6-7(3) 6-4 6-3,3,R32,164,2,0,99,60,42,25,16,5,7,12,7,100,53,39,22,15,6,10
2014-2205,Noumea,Hard,32,C,,20131230,14,PC78,,,Ante Pavic,R,196,CRO,24.816,247,189,HA03,,,Liang-Chi Huang,,,TPE,21.812,268,171,6-3 7-6(5),3,R32,93,7,5,75,48,33,11,11,6,9,1,1,61,44,25,9,10,1,5
2014-2205,Noumea,Hard,32,C,,20131230,15,PF39,,,Lucas Pouille,R,185,FRA,19.849,204,246,CG94,,,Enzo Couacaud,R,183,FRA,18.834,491,72,7-5 6-3,3,R32,91,0,2,58,28,17,19,10,1,3,1,3,88,57,31,14,11,7,12
2014-2205,Noumea,Hard,32,C,,20131230,16,SF89,,,Rubin Statham,R,180,NZL,26.683,290,155,J386,,,Steve Johnson,R,188,USA,24.016,156,333,7-6(4) 4-6 6-3,3,R32,140,5,3,122,72,48,31,16,7,9,11,1,87,52,37,23,15,0,2
2014-2205,Noumea,Hard,32,C,,20131230,17,F444,1,,Alejandro Falla,L,185,COL,30.127,99,552,SF89,,,Rubin Statham,R,180,NZL,26.683,290,155,6-1 6-1,3,R16,53,0,0,35,26,23,5,7,0,0,1,2,47,26,11,8,7,3,8
2014-2205,Noumea,Hard,32,C,,20131230,18,BC36,,,Gregoire Burquier,L,,FRA,29.478,228,206,H704,2,,Jesse Huta Galung,R,,NED,28.233,101,549,4-6 6-3 6-0,3,R16,93,1,3,66,46,33,14,13,0,2,8,4,70,44,29,9,12,3,8
2014-2205,Noumea,Hard,32,C,,20131230,19,KA00,,,Austin Krajicek,L,188,USA,23.54,240,195,GB88,4,,David Goffin,R,180,BEL,23.064,110,510,3-1 RET,3,R16,20,0,0,10,3,2,6,2,0,0,0,1,11,7,3,2,2,0,1
2014-2205,Noumea,Hard,32,C,,20131230,20,KB09,5,,Denis Kudla,R,180,USA,21.369,114,491,PC78,,,Ante Pavic,R,196,CRO,24.816,247,189,6-2 7-5,3,R16,85,0,3,63,39,30,12,10,2,3,4,4,62,31,19,15,10,7,11
