tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1978-301,Auckland,Hard,32,C,,19780108,1,M055,1,,Karl Meiler,R,178,GER,28.693,35,288,C774,,,Andrew Caulfield,,,NZL,,,,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,2,L024,2,,Chris Lewis,R,180,NZL,20.835,,,T179,,,Stephen Temple,L,175,NZL,24.057,,,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,3,T012,3,,Eliot Teltscher,R,178,USA,18.82,106,64,B960,,,Nick Boyne,,,NZL,,,,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,4,F047,,,Eric Fromm,R,178,USA,19.535,,,L025,4,,Richard Lewis,L,,GBR,23.091,82,181,4-6 6-3 9-7,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,5,S052,5,,Russell Simpson,R,188,NZL,23.877,126,75,M119,,,Gilles Moretton,R,191,FRA,19.91,226,18,6-4 5-7 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,6,P070,6,,Onny Parun,R,188,NZL,30.735,148,97,S123,,,Jeff Simpson,R,,NZL,27.195,411,1,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,7,L064,7,,William Lloyd,R,,AUS,28.674,106,64,T096,,,Graeme Thomson,R,,AUS,,248,14,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,8,D042,8,,Robin Drysdale,R,,GBR,25.306,102,73,H139,,,Peter Hampton,R,,NZL,,,,6-1 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,9,C085,,,Dale Collings,R,,AUS,22.064,210,22,T099,,,Jacques Thamin,R,,FRA,25.629,366,2,6-4 6-7 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,10,F039,,,Rod Frawley,R,180,AUS,25.333,175,33,H038,,,David Huffman,R,,USA,,,,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,11,G074,,,Bob Giltinan,R,,AUS,28.756,76,73,G167,,,Dennis Gibson,R,,USA,,,,1-6 6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,12,H134,,,Jay Harvey,R,,AUS,,,,C081,,,Scott Carnahan,R,,USA,24.208,233,17,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,13,M097,,,David Mustard,L,180,NZL,18.029,,,L124,,,Peter Langsford,R,,AUS,,334,3,7-5 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1978-301,Auckland,Hard,32,C,,19780108,14,SB53,,,Dave Simmonds,,,NZL,,324,4,D544,,,G. Dingwell,,,NZL,,,,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
