tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2008-460,Heilbronn,Carpet,32,C,,20080127,1,MB02,,,Florian Mayer,R,191,GER,24.312,52,626,G695,,,Augustin Gensse,R,180,FRA,24.465,258,155,6-0 7-6(3),3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,2,B678,2,,Michael Berrer,L,193,GER,27.573,54,621,T840,,,Viktor Troicki,R,193,SRB,21.96,126,357,5-7 7-5 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,3,G681,,,Teymuraz Gabashvili,R,185,GEO,22.68,125,357,S636,3,,Rainer Schuettler,R,180,GER,31.756,92,453,6-7(7) 6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,4,P624,,,Philipp Petzschner,R,185,GER,23.844,178,231,V207,4,,Jiri Vanek,R,185,CZE,29.76,99,431,6-3 6-7(5) 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,5,MA41,5,,Ivo Minar,R,183,CZE,23.685,102,425,K403,,,Igor Kunitsyn,R,180,RUS,26.324,127,351,6-4 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,6,G372,,,Stefano Galvani,R,175,ITA,30.65,177,232,R483,6,,Bobby Reynolds,R,183,USA,25.53,113,392,6-3 4-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,7,MA30,7,,Gilles Muller,L,193,LUX,24.72,116,380,S693,,,Raemon Sluiter,R,185,NED,29.791,166,253,7-5 7-6(5),3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,8,D424,8,,Rik De Voest,R,180,RSA,27.644,118,366,V195,,,Fernando Vicente,R,180,ESP,30.888,165,253,6-4 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,9,BA86,,,Andreas Beck,L,191,GER,21.974,207,202,Z074,,,Tomas Zib,R,178,CZE,31.989,134,316,6-2 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,10,G806,,,Andrey Golubev,R,180,KAZ,20.517,173,241,E160,,,Konstantinos Economidis,R,188,GRE,30.234,142,299,6-1 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,11,H442,,,Jan Hernych,R,188,CZE,28.559,168,252,L395,,,Federico Luzzi,R,188,ITA,28.066,143,298,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,12,K371,,,Roko Karanusic,R,183,CRO,25.394,133,323,MA38,,,Jan Mertl,R,191,CZE,26.064,210,200,7-6(7) 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2008-460,Heilbronn,Carpet,32,C,,20080127,13,L797,,,Lukas Lacko,R,188,SVK,20.233,150,285,N233,,,Dick Norman,L,203,BEL,36.909,157,270,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
