tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1982-243,Perth,Grass,61,C,,19820111,1,F028,1,,John Fitzgerald,R,183,AUS,21.038,58,311,D102,,,Mark Darby,R,185,USA,25.525,417,13,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,2,W052,,,Tony Withers,R,,USA,,,,J014,2,,Chris Johnstone,R,175,AUS,21.248,97,189,6-2 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,3,D040,3,,Brad Drewett,L,185,AUS,23.483,180,116,F003,,,Michael Fancutt,R,191,AUS,20.89,365,18,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,4,C085,4,,Dale Collings,R,,AUS,26.073,183,71,M045,,,John McCurdy,R,188,AUS,21.665,469,9,6-4 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,5,W016,5,,Greg Whitecross,R,185,AUS,20.827,163,69,E028,,,Brett Edwards,R,,AUS,,,,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,6,B106,6,,Syd Ball,R,188,AUS,31.964,202,79,B077,,,Mike Brunnberg,R,191,USA,23.691,339,24,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,7,E006,7,,Eddie Edwards,R,191,RSA,25.525,204,92,H053,,,Wes Horskins,R,,AUS,,667,3,7-5 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,8,H001,8,,Wayne Hampson,R,183,AUS,24.386,174,85,C023,,,Pat Cash,R,183,AUS,16.627,275,37,7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,9,G084,9,,Brad Guan,R,,AUS,23.507,212,63,E033,,,Rand Evett,R,,USA,27.866,417,13,7-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,10,A023,10,,Andy Andrews,R,185,USA,23.028,199,53,G034,,,Roger Grant,R,,AUS,,,,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,11,L062,11,,Cliff Letcher,R,,AUS,29.922,170,104,F040,,,John Frawley,R,173,AUS,16.523,,,6-3 6-7 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,12,M133,12,,Warren Maher,R,,AUS,24.988,243,64,M115,,,Brian Millar,R,,CAN,,537,6,6-1 6-1,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,13,M066,13,,Craig A Miller,R,188,AUS,19.233,245,42,M150,,,Rick Meyers,R,173,USA,23.663,417,13,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,14,M142,14,,Matthew McDonald,R,,USA,23.42,275,37,H009,,,Mark Hartnett,L,,AUS,,,,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,15,M030,15,,Wally Masur,R,180,AUS,18.667,287,34,W070,,,R. Williams,R,,AUS,,,,7-5 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,16,D049,16,,Broderick Dyke,L,180,AUS,21.029,333,25,T063,,,J. Thorpe,R,,AUS,,,,6-1 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,17,B199,,,Keith Barton,R,,AUS,,,,W028,,,Jorgen Windahl,R,183,SWE,18.836,313,29,3-6 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,18,B173,,,Max Bates,R,,AUS,,,,M206,,,Scott Marshall,R,,USA,,,,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,19,B178,,,A. Benson,R,,AUS,,,,B177,,,Terry Bennett,R,,USA,,572,5,7-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,20,C100,,,Robert Casey,R,188,AUS,19.321,572,5,M125,,,Steve Maloney,R,,AUS,,,,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,21,F078,,,Mark Friedman,R,,USA,,,,N103,,,Ed Nagel,R,180,USA,17.292,,,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,22,G037,,,David Graham,R,180,AUS,19.439,,,L067,,,Brad Langevad,R,,AUS,,,,6-4 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,23,H050,,,Hans Hansson,R,,AUS,,621,4,G060,,,Markus Gunthardt,R,178,SUI,24.337,346,23,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,24,H004,,,Jamie Harty,R,,AUS,,,,S054,,,Eylon Sinai,R,,ISR,,667,3,7-5 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,25,H028,,,Joel Hoffman,R,,USA,23.244,537,6,S131,,,Karsten Schulz,R,183,GER,19.592,667,3,6-3 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,26,H029,,,Thomas Hogstedt,R,191,SWE,18.308,245,42,G087,,,Bill Gilmour,R,,AUS,21.621,469,9,6-3 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,27,H039,,,Maurice Hunter,R,,USA,24.956,318,28,S091,,,John Stoddart,R,,AUS,,837,1,6-7 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,28,J013,,,Dieter Joehle,R,,GER,,,,C086,,,Kevin Cook,R,,USA,,,,7-6 4-6 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,29,J016,,,Peter Johnston,L,178,AUS,21.613,489,8,B113,,,Nick Brown,R,191,GBR,20.356,763,2,6-0 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,30,L030,,,Carl Limberger,R,170,AUS,17.966,667,3,B010,,,Russell Barlow,L,173,AUS,19.066,572,5,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,31,P076,,,Glenn Petrovic,R,,USA,24.86,325,26,S145,,,Peter Smylie,R,,AUS,23.253,763,2,6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,32,W007,,,Laurie Warder,R,183,AUS,19.22,763,2,T056,,,Adrian Targett,R,,AUS,,,,6-3 6-0,3,R64,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,33,F028,1,,John Fitzgerald,R,183,AUS,21.038,58,311,B178,,,A. Benson,R,,AUS,,,,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,34,D040,3,,Brad Drewett,L,185,AUS,23.483,180,116,P076,,,Glenn Petrovic,R,,USA,24.86,325,26,6-3 5-7 6-2,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,35,C085,4,,Dale Collings,R,,AUS,26.073,183,71,H028,,,Joel Hoffman,R,,USA,23.244,537,6,6-2 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,36,W016,5,,Greg Whitecross,R,185,AUS,20.827,163,69,B173,,,Max Bates,R,,AUS,,,,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,37,B106,6,,Syd Ball,R,188,AUS,31.964,202,79,H039,,,Maurice Hunter,R,,USA,24.956,318,28,6-2 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,38,E006,7,,Eddie Edwards,R,191,RSA,25.525,204,92,J013,,,Dieter Joehle,R,,GER,,,,6-4 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,39,H001,8,,Wayne Hampson,R,183,AUS,24.386,174,85,J016,,,Peter Johnston,L,178,AUS,21.613,489,8,6-4 7-6,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,40,G084,9,,Brad Guan,R,,AUS,23.507,212,63,G037,,,David Graham,R,180,AUS,19.439,,,7-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,41,A023,10,,Andy Andrews,R,185,USA,23.028,199,53,W007,,,Laurie Warder,R,183,AUS,19.22,763,2,7-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,42,L062,11,,Cliff Letcher,R,,AUS,29.922,170,104,L030,,,Carl Limberger,R,170,AUS,17.966,667,3,6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,43,C100,,,Robert Casey,R,188,AUS,19.321,572,5,M133,12,,Warren Maher,R,,AUS,24.988,243,64,6-1 6-3,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,44,M066,13,,Craig A Miller,R,188,AUS,19.233,245,42,H004,,,Jamie Harty,R,,AUS,,,,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,45,M142,14,,Matthew McDonald,R,,USA,23.42,275,37,F078,,,Mark Friedman,R,,USA,,,,7-6 3-6 8-6,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,46,M030,15,,Wally Masur,R,180,AUS,18.667,287,34,H029,,,Thomas Hogstedt,R,191,SWE,18.308,245,42,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,47,D049,16,,Broderick Dyke,L,180,AUS,21.029,333,25,H050,,,Hans Hansson,R,,AUS,,621,4,6-0 7-5,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,48,W052,,,Tony Withers,R,,USA,,,,B199,,,Keith Barton,R,,AUS,,,,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,49,G084,9,,Brad Guan,R,,AUS,23.507,212,63,F028,1,,John Fitzgerald,R,183,AUS,21.038,58,311,3-6 6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,50,D040,3,,Brad Drewett,L,185,AUS,23.483,180,116,C100,,,Robert Casey,R,188,AUS,19.321,572,5,6-4 7-6,3,R16,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,51,C085,4,,Dale Collings,R,,AUS,26.073,183,71,M030,15,,Wally Masur,R,180,AUS,18.667,287,34,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,52,M066,13,,Craig A Miller,R,188,AUS,19.233,245,42,W016,5,,Greg Whitecross,R,185,AUS,20.827,163,69,6-0 6-4,3,R16,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,53,B106,6,,Syd Ball,R,188,AUS,31.964,202,79,M142,14,,Matthew McDonald,R,,USA,23.42,275,37,6-0 6-3,3,R16,,,,,,,,,,,,,,,,,,,
1982-243,Perth,Grass,61,C,,19820111,54,E006,7,,Eddie Edwards,R,191,RSA,25.525,204,92,L062,11,,Cliff Letcher,R,,AUS,29.922,170,104,6-2 6-2,3,R16,,,,,,,,,,,,,,,,,,,
