tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1983-243,Perth,Grass,64,C,,19830103,1,F075,,,Mark Freedman,R,,USA,24.123,504,8,M066,1,,Craig A Miller,R,188,AUS,20.211,102,167,7-5 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,2,M030,2,,Wally Masur,R,180,AUS,19.644,125,116,R054,,,Graham Riddle,R,,AUS,,,,7-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,3,E006,3,,Eddie Edwards,R,191,RSA,26.502,171,125,D086,,,Peter Dellavedova,R,,AUS,,,,6-2 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,4,B127,,,John Benson,R,,USA,23.507,434,12,J014,4,,Chris Johnstone,R,175,AUS,22.226,132,135,6-3 4-6 7-6,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,5,H001,5,,Wayne Hampson,R,183,AUS,25.363,206,83,G034,,,Roger Grant,R,,AUS,,,,6-7 6-2 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,6,D049,6,,Broderick Dyke,L,180,AUS,22.007,179,102,K021,,,Mark Kratzmann,L,175,AUS,16.632,616,4,6-0 7-5,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,7,E033,7,,Rand Evett,R,,USA,28.843,219,65,T030,,,Chris Tregonning,R,,AUS,,,,6-7 6-4 6-4,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,8,J016,9,,Peter Johnston,L,178,AUS,22.59,239,52,M067,,,Gerald Mild,R,,AUT,20.739,314,28,6-4 6-2,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,9,B106,10,,Syd Ball,R,188,AUS,32.942,308,29,P049,,,Brad Properjohn,R,,AUS,,,,7-6 6-3,3,R64,,,,,,,,,,,,,,,,,,,
1983-243,Perth,Grass,64,C,,19830103,10,F006,11,,Juan Farrow,R,180,USA,24.958,240,44,L070,,,Peter Lebedevs,R,,AUS,,,,6-2 6-4,3,R64,,,,,,,,,,,,,,,,,,,
