tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2021-7083,Istanbul,Hard,32,C,,20210124,1,D994,1,,James Duckworth,R,183,AUS,29.01,104,709,GA79,,,Lorenzo Giustino,R,180,ITA,29.374,151,433,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,2,A829,2,,Radu Albot,R,175,MDA,31.203,85,817,E690,,,Matthew Ebden,R,188,AUS,33.164,319,141,6-4 1-6 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,3,GH92,,,Borna Gojo,R,196,CRO,22.908,223,258,GE33,3,,Daniel Elahi Galan,R,191,COL,24.602,115,619,6-4 3-6 6-2,3,R32,83,5,0,69,51,41,10,11,2,2,4,1,72,43,32,13,10,3,4
2021-7083,Istanbul,Hard,32,C,,20210124,4,U134,4,,Yasutaka Uchiyama,R,183,JPN,28.471,105,701,MI01,,,Hiroki Moriya,R,168,JPN,30.275,241,234,6-3 3-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,5,PG94,5,,Marc Polmans,R,188,AUS,23.732,124,546,KI91,,,Koray Kirci,R,185,TUR,22.439,953,13,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,6,D864,6,,Evgeny Donskoy,R,185,RUS,30.713,122,548,KB54,,,Andrey Kuznetsov,R,183,RUS,29.922,520,63,7-6(4) 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,7,ME89,7,,Illya Marchenko,R,185,UKR,33.38,215,281,F586,,,Thomas Fabbiano,R,173,ITA,31.666,173,379,7-5 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,8,BU54,,,Geoffrey Blancaneaux,R,180,FRA,22.464,286,182,LC12,,,Laurent Lokoli,R,188,FRA,26.27,382,108,4-6 7-6(5) 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,9,GF95,,,Hugo Grenier,R,196,FRA,24.841,242,234,AD04,,,Sarp Agabigun,R,178,TUR,23.619,886,16,6-4 3-6 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,10,HB64,,,Quentin Halys,R,191,FRA,24.246,206,310,TA46,,,Bernard Tomic,R,196,AUS,28.26,228,253,6-0 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2021-7083,Istanbul,Hard,32,C,,20210124,11,HB67,,,Christopher Heyman,L,188,BEL,27.296,406,98,A622,,,Andrea Arnaboldi,L,180,ITA,33.079,272,206,3-6 6-2 6-4,3,R32,,,,,,,,,,,,,,,,,,,
