tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2003-746,Sao Paulo-1,Hard,32,C,,20021230,1,M443,1,,Fernando Meligeni,L,180,BRA,31.718,74,538,F433,,,Franco Ferreiro,R,188,BRA,18.497,915,7,7-5 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,2,M538,,,Diego Moyano,R,180,ARG,27.797,197,171,H390,2,,Luis Horna,R,180,PER,22.292,85,473,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,3,S876,3,,Flavio Saretta,R,183,BRA,22.505,92,438,D339,,,Marcos Daniel,R,180,BRA,24.49,236,127,6-4 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,4,M708,4,,Ricardo Mello,L,175,BRA,22.023,144,258,F514,,,Amadeus Fulford-Jones,,,GBR,17.541,1331,1,6-1 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,5,M783,5,,Ivan Miranda,R,175,PER,22.812,147,252,W224,,,Rogier Wassen,R,191,NED,26.39,265,109,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,6,P324,,,Sebastian Prieto,R,180,ARG,27.617,284,101,S721,6,,Alexandre Simoni,R,188,BRA,23.496,167,218,7-6(1) 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,7,D437,,,Andres Dellatorre,R,191,ARG,22.475,291,98,D347,7,,Mariano Delfino,R,183,ARG,25.276,169,215,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,8,R388,8,,Sergio Roitman,R,185,ARG,23.625,178,201,W373,,,Jimmy Wang,R,180,TPE,17.889,205,157,6-4 3-6 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,9,B884,,,Carlos Berlocq,R,183,ARG,19.904,297,94,P440,,,Andres Pedroso,R,,USA,23.855,286,101,7-5 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2003-746,Sao Paulo-1,Hard,32,C,,20021230,10,B516,,,Federico Browne,R,180,ARG,26.73,225,133,M717,,,Rodrigo Monte,R,,BRA,26.543,296,94,6-3 6-4,3,R32,,,,,,,,,,,,,,,,,,,
