tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-460,Heilbronn,Carpet,32,C,,20000130,1,V201,1,,John van Lottum,R,185,NED,23.806,66,594,G252,,,Marc-Kevin Goellner,R,196,GER,29.355,320,93,7-6(3) 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,2,B503,2,,George Bastl,R,183,SUI,24.832,78,511,B599,,,Julien Boutter,R,191,FRA,25.821,155,243,5-7 6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,3,K257,,,Michael Kohlmann,R,188,GER,26.051,156,242,P045,3,,Gianluca Pozzi,L,180,ITA,34.62,82,465,7-5 6-1,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,4,P395,,,Alexander Popp,R,198,GER,23.236,124,309,T168,4,,Laurence Tieleman,R,180,ITA,27.209,89,439,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,5,P353,,,Axel Pretzsch,R,185,GER,23.622,115,345,S381,5,,Jan Siemerink,L,183,NED,29.796,93,432,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,6,H366,6,,Markus Hantschk,R,188,GER,22.196,96,420,K297,,,Tuomas Ketola,R,185,FIN,24.939,142,261,6-4 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,7,L206,7,,Magnus Larsson,R,193,SWE,29.851,100,402,A190,,,Emilio Benfele Alvarez,R,183,ESP,27.206,140,268,6-7(5) 6-0 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,8,B516,,,Federico Browne,R,180,ARG,23.814,132,286,K296,8,,Jan Kroslak,R,188,SVK,25.287,104,372,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,9,A272,,,Julian Alonso,R,185,ESP,22.494,111,354,V175,,,Christian Vinck,L,183,GER,24.408,207,160,6-4 7-6(6),3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,10,F312,,,Andy Fahlke,R,185,GER,20.671,240,139,K319,,,Michel Kratochvil,R,185,SUI,20.816,138,276,6-2 6-0,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,11,H437,,,Jakub Herm-Zahlava,R,,GER,19.718,570,30,B545,,,Tomas Behrend,R,193,GER,25.133,106,362,6-3 4-6 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,12,H284,,,Stephane Huet,L,180,FRA,28.767,129,296,E155,,,Daniel Elsner,R,183,GER,21.07,390,68,6-3 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,13,M551,,,Lorenzo Manta,R,191,SUI,25.372,107,361,P436,,,Bjorn Phau,R,175,GER,20.323,311,96,4-6 6-2 6-3,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,14,M543,,,Marzio Martelli,R,180,ITA,28.129,222,148,D289,,,Jamie Delgado,R,178,GBR,22.861,143,260,6-3 6-2,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,15,S519,,,Orlin Stanoytchev,R,185,BUL,28.35,109,356,B484,,,Lars Burgsmuller,R,183,GER,24.151,134,280,7-6(7) 6-4,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,16,S688,,,Andrei Stoliarov,R,178,RUS,23.055,152,246,S367,,,Martin Sinner,R,180,GER,31.978,1298,1,6-2 7-5,3,R32,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,17,S688,,,Andrei Stoliarov,R,178,RUS,23.055,152,246,V201,1,,John van Lottum,R,185,NED,23.806,66,594,6-1 7-5,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,18,B503,2,,George Bastl,R,183,SUI,24.832,78,511,H437,,,Jakub Herm-Zahlava,R,,GER,19.718,570,30,7-5 6-4,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,19,H366,6,,Markus Hantschk,R,188,GER,22.196,96,420,M551,,,Lorenzo Manta,R,191,SUI,25.372,107,361,7-6(3) 7-6(4),3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,20,L206,7,,Magnus Larsson,R,193,SWE,29.851,100,402,A272,,,Julian Alonso,R,185,ESP,22.494,111,354,6-3 6-1,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,21,H284,,,Stephane Huet,L,180,FRA,28.767,129,296,P353,,,Axel Pretzsch,R,185,GER,23.622,115,345,3-6 6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,22,K257,,,Michael Kohlmann,R,188,GER,26.051,156,242,M543,,,Marzio Martelli,R,180,ITA,28.129,222,148,6-3 6-4,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,23,P395,,,Alexander Popp,R,198,GER,23.236,124,309,F312,,,Andy Fahlke,R,185,GER,20.671,240,139,6-4 6-2,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,24,S519,,,Orlin Stanoytchev,R,185,BUL,28.35,109,356,B516,,,Federico Browne,R,180,ARG,23.814,132,286,6-2 6-1,3,R16,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,25,L206,7,,Magnus Larsson,R,193,SWE,29.851,100,402,B503,2,,George Bastl,R,183,SUI,24.832,78,511,6-2 2-0 RET,3,QF,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,26,H366,6,,Markus Hantschk,R,188,GER,22.196,96,420,P395,,,Alexander Popp,R,198,GER,23.236,124,309,6-3 7-5,3,QF,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,27,H284,,,Stephane Huet,L,180,FRA,28.767,129,296,K257,,,Michael Kohlmann,R,188,GER,26.051,156,242,7-6(1) 6-2,3,QF,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,28,S688,,,Andrei Stoliarov,R,178,RUS,23.055,152,246,S519,,,Orlin Stanoytchev,R,185,BUL,28.35,109,356,6-4 6-7(3) 6-3,3,QF,,,,,,,,,,,,,,,,,,,
2000-460,Heilbronn,Carpet,32,C,,20000130,29,L206,7,,Magnus Larsson,R,193,SWE,29.851,100,402,H366,6,,Markus Hantschk,R,188,GER,22.196,96,420,7-6(1) 6-4,3,SF,,,,,,,,,,,,,,,,,,,
