tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2011-2205,Noumea,Hard,32,C,,20110109,1,G695,,,Augustin Gensse,R,180,FRA,27.417,201,253,SF36,1,,Igor Sijsling,R,191,NED,23.395,126,436,5-7 6-4 6-4,3,R32,112,4,2,94,57,46,22,16,4,5,2,3,85,52,41,21,16,2,4
2011-2205,Noumea,Hard,32,C,,20110109,2,H704,2,,Jesse Huta Galung,R,,NED,25.259,128,433,R895,,,Florian Reynet,,,FRA,24.739,286,157,6-3 6-4,3,R32,86,11,3,58,29,25,14,10,0,1,2,0,59,32,22,13,9,8,11
2011-2205,Noumea,Hard,32,C,,20110109,3,MA30,3,,Gilles Muller,L,193,LUX,27.671,134,406,U043,,,Danai Udomchoke,R,173,THA,29.413,457,74,4-6 7-5 7-6(5),3,R32,178,24,3,123,69,52,31,17,5,6,6,4,97,64,52,21,17,4,5
2011-2205,Noumea,Hard,32,C,,20110109,4,ME31,,,Vincent Millot,L,173,FRA,24.942,206,242,G436,4,,Marc Gicquel,R,188,FRA,33.78,151,368,6-3 7-5,3,R32,75,5,2,65,46,31,9,11,2,5,4,4,53,28,20,9,10,4,9
2011-2205,Noumea,Hard,32,C,,20110109,5,R758,,,Sebastian Rieschick,R,,GER,24.898,237,200,PD31,5,,Benoit Paire,R,196,FRA,21.673,152,366,6-1 6-1,3,R32,59,4,3,54,34,21,14,7,4,4,4,3,40,20,7,9,7,2,7
2011-2205,Noumea,Hard,32,C,,20110109,6,O264,6,,Josselin Ouanna,R,193,FRA,24.739,157,340,Y070,,,Michael Yani,R,185,USA,30.023,288,156,6-3 6-4,3,R32,87,14,2,53,32,29,11,10,2,3,1,2,65,34,23,13,9,9,12
2011-2205,Noumea,Hard,32,C,,20110109,7,G753,7,,David Guez,R,185,FRA,28.088,169,316,W421,,,Fritz Wolmarans,R,,RSA,24.843,275,164,6-1 6-4,3,R32,75,4,1,44,30,26,12,9,2,2,5,1,48,34,23,5,8,6,9
2011-2205,Noumea,Hard,32,C,,20110109,8,V339,8,,Simone Vagnozzi,R,,ITA,27.614,179,297,N604,,,Nicolas N'Godrela,,,FRA,26.259,1051,7,6-4 6-1,3,R32,54,0,1,38,26,25,7,8,0,0,2,5,48,23,13,12,9,0,4
2011-2205,Noumea,Hard,32,C,,20110109,9,BC36,,,Gregoire Burquier,L,,FRA,26.505,232,206,R822,,,Laurent Rochette,R,180,FRA,22.927,248,191,6-3 6-2,3,R32,95,0,0,54,54,25,0,8,2,7,0,0,74,74,27,0,9,8,17
2011-2205,Noumea,Hard,32,C,,20110109,10,CA22,,,Pavol Cervenak,R,191,SVK,23.526,252,186,J338,,,Romain Jouan,R,183,FRA,25.484,266,174,7-6(8) 6-3,3,R32,110,7,4,78,46,40,17,11,3,3,1,2,72,36,26,20,10,2,3
2011-2205,Noumea,Hard,32,C,,20110109,11,C723,,,Flavio Cipolla,R,173,ITA,27.222,212,232,V490,,,Matteo Viola,R,185,ITA,23.51,213,231,7-5 6-4,3,R32,140,0,0,74,74,45,0,11,6,9,0,0,63,61,30,2,11,2,7
2011-2205,Noumea,Hard,32,C,,20110109,12,D424,,,Rik De Voest,R,180,RSA,30.595,181,293,M836,,,Dominik Meffert,R,196,GER,29.752,319,137,7-6(1) 7-6(1),3,R32,151,3,1,93,63,38,18,12,6,9,6,5,105,66,44,14,12,10,13
2011-2205,Noumea,Hard,32,C,,20110109,13,K512,,,Ivo Klec,R,183,SVK,30.114,246,191,R628,,,Laurent Recouderc,R,,AND,26.5,205,243,6-3 6-3,3,R32,79,5,0,50,18,13,18,9,1,3,0,3,58,32,15,13,9,6,11
