tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2020-2205,Noumea,Hard,48,C,,20200112,1,BC65,,,Matthias Bachinger,R,188,GER,32.78,218,218,R0DG,,,Holger Rune,R,188,DEN,16.706,1019,9,6-1 6-4,3,R64,64,5,4,56,31,25,13,9,1,2,6,3,49,35,20,5,8,2,6
2020-2205,Noumea,Hard,48,C,,20200112,2,C0BC,,,Maxime Cressy,R,201,USA,22.68,191,258,V717,,,Alexey Vatutin,R,178,RUS,27.209,206,233,6-3 3-6 6-4,3,R64,120,14,6,88,55,42,20,14,8,9,6,4,84,53,42,16,14,5,7
2020-2205,Noumea,Hard,48,C,,20200112,3,G09O,,,Hugo Gaston,L,173,FRA,19.294,246,185,BE69,,,Yan Bai,R,185,CHN,30.645,211,229,6-4 7-6(6),3,R64,109,0,0,68,40,25,17,11,2,5,0,2,93,54,29,22,11,7,11
2020-2205,Noumea,Hard,48,C,,20200112,4,G858,,,Ernests Gulbis,R,191,LAT,31.368,258,171,MN13,,,Maximilian Marterer,L,188,GER,24.578,265,166,1-6 6-3 7-6(5),3,R64,120,10,5,81,50,43,15,14,4,6,7,1,95,58,45,18,14,5,6
2020-2205,Noumea,Hard,48,C,,20200112,5,K834,,,Blaz Kavcic,R,188,SLO,32.857,341,112,BT68,,,Elliot Benchetrit,R,193,MAR,21.279,217,219,6-4 7-5,3,R64,109,5,2,55,29,23,15,11,0,2,8,3,91,50,31,18,11,11,15
2020-2205,Noumea,Hard,48,C,,20200112,6,KD35,,,Thai-Son Kwiatkowski,R,188,USA,24.912,253,179,LB66,,,Constant Lestienne,R,180,FRA,27.639,224,213,6-4 6-2,3,R64,67,6,1,47,31,22,11,9,0,1,3,2,63,35,24,9,9,5,9
2020-2205,Noumea,Hard,48,C,,20200112,7,LC11,,,Tristan Lamasine,R,183,FRA,26.856,215,221,Z419,,,Bernabe Zapata Miralles,R,183,ESP,22.998,196,252,4-6 6-4 7-5,3,R64,115,4,0,87,62,40,15,16,2,6,0,2,85,67,42,8,16,4,9
2020-2205,Noumea,Hard,48,C,,20200112,8,MJ01,,,Roberto Marcora,R,193,ITA,30.368,177,283,TE16,,,Carlos Taberner,R,183,ESP,22.428,187,264,6-3 3-6 6-3,3,R64,124,9,0,82,51,35,21,14,4,6,1,4,77,37,29,20,13,2,5
2020-2205,Noumea,Hard,48,C,,20200112,9,M0G4,,,Harold Mayot,R,180,FRA,17.936,688,28,SQ79,,,Colin Sinclair,R,188,NMI,25.065,623,35,4-6 6-3 6-2,3,R64,110,7,5,85,54,44,16,14,5,6,11,3,90,57,41,14,13,6,9
2020-2205,Noumea,Hard,48,C,,20200112,10,MN70,,,Joao Menezes,R,185,BRA,23.069,186,266,N652,,,JiSung Nam,R,183,KOR,26.409,240,192,4-6 6-1 6-3,3,R64,123,11,2,97,71,49,12,13,10,12,0,3,75,42,22,20,13,6,11
